PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,delta_t,Time_Unit,Sensor,Calibration,User,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
5140,2008-08-20 15:36,5.45,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.303,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.081,48452,49028.99,7,2500,#N/A
5144,2008-08-20 15:36,5.5,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.301,ppm (mg/L),14.715,°C,1028,hPa,Humid,0,0,,0,30.081,48450,49032.9,7,2500,#N/A
5148,2008-08-20 15:36,5.55,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.299,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.086,48449,49035.03,7,2500,#N/A
5152,2008-08-20 15:36,5.6,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.296,ppm (mg/L),14.715,°C,1028,hPa,Humid,0,0,,0,30.087,48447,49030.49,7,2500,#N/A
5156,2008-08-20 15:36,5.65,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.306,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.077,48450,49038.01,7,2500,#N/A
5160,2008-08-20 15:36,5.7,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.289,ppm (mg/L),14.752,°C,1028,hPa,Humid,0,0,,0,30.081,48448,49035.66,7,2500,#N/A
5164,2008-08-20 15:36,5.75,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.303,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.081,48447,49028.41,7,2500,#N/A
5168,2008-08-20 15:36,5.8,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.308,ppm (mg/L),14.691,°C,1028,hPa,Humid,0,0,,0,30.082,48448,49031.09,7,2500,#N/A
5172,2008-08-20 15:36,5.85,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.309,ppm (mg/L),14.691,°C,1028,hPa,Humid,0,0,,0,30.081,48452,49029.9,7,2500,#N/A
5176,2008-08-20 15:36,5.899,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.315,ppm (mg/L),14.678,°C,1028,hPa,Humid,0,0,,0,30.078,48447,49035.66,7,2500,#N/A
5180,2008-08-20 15:36,5.95,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.297,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.089,48439,49029.02,7,2500,#N/A
5184,2008-08-20 15:36,6,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.313,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.067,48444,49033.01,7,2500,#N/A
5188,2008-08-20 15:36,6.05,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.304,ppm (mg/L),14.709,°C,1028,hPa,Humid,0,0,,0,30.079,48439,49033.47,7,2500,#N/A
5192,2008-08-20 15:36,6.099,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.309,ppm (mg/L),14.685,°C,1028,hPa,Humid,0,0,,0,30.084,48445,49030,7,2500,#N/A
5196,2008-08-20 15:36,6.15,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.293,ppm (mg/L),14.74,°C,1028,hPa,Humid,0,0,,0,30.081,48446,49030.59,7,2500,#N/A
5200,2008-08-20 15:36,6.2,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.303,ppm (mg/L),14.734,°C,1028,hPa,Humid,0,0,,0,30.07,48440,49031.5,7,2500,#N/A
5204,2008-08-20 15:36,6.249,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.297,ppm (mg/L),14.728,°C,1028,hPa,Humid,0,0,,0,30.081,48446,49033.95,7,2500,#N/A
5208,2008-08-20 15:36,6.3,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.314,ppm (mg/L),14.697,°C,1028,hPa,Humid,0,0,,0,30.071,48446,49031.03,7,2500,#N/A
5212,2008-08-20 15:36,6.35,min,Sensor3 (PSt3),2008-08-20 13:27,default,8.305,ppm (mg/L),14.703,°C,1028,hPa,Humid,0,0,,0,30.081,48448,49030.79,7,2500,#N/A
